field,employment_rate,median_salary,part_time_pct
Rehabilitation,94.9,75000.0,12.1
Pharmacy,91.4,59500.0,10.5
Medicine,90.4,86800.0,29.9
Teacher Education,86.8,78800.0,34.3
Engineering,85.5,80000.0,18.2
Nursing,85.5,72000.0,46.5
Law,79.3,76000.0,29.2
Business & Management,78.5,72000.0,24.7
Agriculture & Env.,77.8,71500.0,35.4
Social Work,77.3,82000.0,33.4
Health Services,75.4,74900.0,43.1
Tourism & Hospitality,69.8,63900.0,42.9
Computing & IT,67.8,75300.0,23.3
Humanities & Social Sci.,66.7,73100.0,47.3
Architecture & Built Env.,66.6,75000.0,40.4
Psychology,65.5,75100.0,56.3
Science & Maths,63.6,72400.0,52.5
Communications,58.3,65200.0,42.8
Creative Arts,48.4,62600.0,60.0
