field,sal_male_2024,sal_female_2024,pay_gap_2024
Tourism & Hospitality,70200.0,60000.0,10200.0
Architecture & Built Env.,78700.0,69400.0,9300.0
Law,80000.0,75000.0,5000.0
Science & Maths,75000.0,70000.0,5000.0
Medicine,87700.0,84000.0,3700.0
Creative Arts,65500.0,62000.0,3500.0
Psychology,77800.0,75000.0,2800.0
Teacher Education,81000.0,78300.0,2700.0
Nursing,74000.0,71400.0,2600.0
Agriculture & Env.,73200.0,70800.0,2400.0
Health Services,75800.0,73600.0,2200.0
Engineering,80000.0,78300.0,1700.0
Humanities & Social Sci.,74000.0,72400.0,1600.0
Computing & IT,76000.0,75000.0,1000.0
Social Work,82300.0,81500.0,800.0
Business & Management,72000.0,72000.0,0.0
Rehabilitation,75000.0,75000.0,0.0
Pharmacy,58900.0,59500.0,-600.0
Communications,63400.0,66500.0,-3100.0
