field,metric,raw_value,norm_value
Rehabilitation,Employment rate,94.9,1.0
Rehabilitation,Median salary,75000.0,0.568
Rehabilitation,Part-time rate (inv.),12.1,0.968
Rehabilitation,Gender pay gap,0.0,0.233
Pharmacy,Employment rate,91.4,0.925
Pharmacy,Median salary,59500.0,0.0
Pharmacy,Part-time rate (inv.),10.5,1.0
Pharmacy,Gender pay gap,-600.0,0.188
Medicine,Employment rate,90.4,0.903
Medicine,Median salary,86800.0,1.0
Medicine,Part-time rate (inv.),29.9,0.608
Medicine,Gender pay gap,3700.0,0.511
Teacher Education,Employment rate,86.8,0.826
Teacher Education,Median salary,78800.0,0.707
Teacher Education,Part-time rate (inv.),34.3,0.519
Teacher Education,Gender pay gap,2700.0,0.436
Engineering,Employment rate,85.5,0.798
Engineering,Median salary,80000.0,0.751
Engineering,Part-time rate (inv.),18.2,0.844
Engineering,Gender pay gap,1700.0,0.361
Nursing,Employment rate,85.5,0.798
Nursing,Median salary,72000.0,0.458
Nursing,Part-time rate (inv.),46.5,0.273
Nursing,Gender pay gap,2600.0,0.429
Law,Employment rate,79.3,0.665
Law,Median salary,76000.0,0.604
Law,Part-time rate (inv.),29.2,0.622
Law,Gender pay gap,5000.0,0.609
Business & Management,Employment rate,78.5,0.647
Business & Management,Median salary,72000.0,0.458
Business & Management,Part-time rate (inv.),24.7,0.713
Business & Management,Gender pay gap,0.0,0.233
Agriculture & Env.,Employment rate,77.8,0.632
Agriculture & Env.,Median salary,71500.0,0.44
Agriculture & Env.,Part-time rate (inv.),35.4,0.497
Agriculture & Env.,Gender pay gap,2400.0,0.414
Social Work,Employment rate,77.3,0.622
Social Work,Median salary,82000.0,0.824
Social Work,Part-time rate (inv.),33.4,0.537
Social Work,Gender pay gap,800.0,0.293
Health Services,Employment rate,75.4,0.581
Health Services,Median salary,74900.0,0.564
Health Services,Part-time rate (inv.),43.1,0.341
Health Services,Gender pay gap,2200.0,0.398
Tourism & Hospitality,Employment rate,69.8,0.46
Tourism & Hospitality,Median salary,63900.0,0.161
Tourism & Hospitality,Part-time rate (inv.),42.9,0.345
Tourism & Hospitality,Gender pay gap,10200.0,1.0
Computing & IT,Employment rate,67.8,0.417
Computing & IT,Median salary,75300.0,0.579
Computing & IT,Part-time rate (inv.),23.3,0.741
Computing & IT,Gender pay gap,1000.0,0.308
Humanities & Social Sci.,Employment rate,66.7,0.394
Humanities & Social Sci.,Median salary,73100.0,0.498
Humanities & Social Sci.,Part-time rate (inv.),47.3,0.257
Humanities & Social Sci.,Gender pay gap,1600.0,0.353
Architecture & Built Env.,Employment rate,66.6,0.391
Architecture & Built Env.,Median salary,75000.0,0.568
Architecture & Built Env.,Part-time rate (inv.),40.4,0.396
Architecture & Built Env.,Gender pay gap,9300.0,0.932
Psychology,Employment rate,65.5,0.368
Psychology,Median salary,75100.0,0.571
Psychology,Part-time rate (inv.),56.3,0.075
Psychology,Gender pay gap,2800.0,0.444
Science & Maths,Employment rate,63.6,0.327
Science & Maths,Median salary,72400.0,0.473
Science & Maths,Part-time rate (inv.),52.5,0.152
Science & Maths,Gender pay gap,5000.0,0.609
Communications,Employment rate,58.3,0.213
Communications,Median salary,65200.0,0.209
Communications,Part-time rate (inv.),42.8,0.347
Communications,Gender pay gap,-3100.0,0.0
Creative Arts,Employment rate,48.4,0.0
Creative Arts,Median salary,62600.0,0.114
Creative Arts,Part-time rate (inv.),60.0,0.0
Creative Arts,Gender pay gap,3500.0,0.496
