field,salary,year,change
Agriculture & Env.,71100.0,2023,400.0
Agriculture & Env.,71500.0,2024,400.0
Architecture & Built Env.,66000.0,2023,9000.0
Architecture & Built Env.,75000.0,2024,9000.0
Business & Management,69200.0,2023,2800.0
Business & Management,72000.0,2024,2800.0
Communications,65000.0,2023,200.0
Communications,65200.0,2024,200.0
Computing & IT,74400.0,2023,900.0
Computing & IT,75300.0,2024,900.0
Creative Arts,59500.0,2023,3100.0
Creative Arts,62600.0,2024,3100.0
Dentistry,94400.0,2023,8900.0
Dentistry,103300.0,2024,8900.0
Engineering,75000.0,2023,5000.0
Engineering,80000.0,2024,5000.0
Health Services,70800.0,2023,4100.0
Health Services,74900.0,2024,4100.0
Humanities & Social Sci.,69400.0,2023,3700.0
Humanities & Social Sci.,73100.0,2024,3700.0
Law,73000.0,2023,3000.0
Law,76000.0,2024,3000.0
Medicine,85000.0,2023,1800.0
Medicine,86800.0,2024,1800.0
Nursing,69400.0,2023,2600.0
Nursing,72000.0,2024,2600.0
Pharmacy,55500.0,2023,4000.0
Pharmacy,59500.0,2024,4000.0
Psychology,71000.0,2023,4100.0
Psychology,75100.0,2024,4100.0
Rehabilitation,71000.0,2023,4000.0
Rehabilitation,75000.0,2024,4000.0
Science & Maths,69000.0,2023,3400.0
Science & Maths,72400.0,2024,3400.0
Social Work,77300.0,2023,4700.0
Social Work,82000.0,2024,4700.0
Teacher Education,75000.0,2023,3800.0
Teacher Education,78800.0,2024,3800.0
Tourism & Hospitality,65000.0,2023,-1100.0
Tourism & Hospitality,63900.0,2024,-1100.0
Veterinary Science,67400.0,2023,2600.0
Veterinary Science,70000.0,2024,2600.0
